gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1898283097	34fbcf59-d9bb-47e7-9672-99e13ea8c736	5b51c4e1-a37d-4693-8d2d-5609c53f6396	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia rosea		SPECIES	Daphnia rosea Sars, 1862	Daphnia rosea Richard, 1896	Richard, 1896	CA	McGregor; Amanita Lake: Forest Recreation Site; NNW of McGregor	British Columbia	PRESENT		cc6110c7-f75c-47c8-8931-f7dd3f324777	54.145333	-121.825667							2001-06-24T00:00:00	24	6	2001	2234838	2234838	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	001-00223-004				CC_BY_4_0	Royal BC Museum	Robert Forsyth; Philip Lambert			2020-09-05T05:34:36.757Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1898282879	34fbcf59-d9bb-47e7-9672-99e13ea8c736	5a50db81-64c5-4574-ad2e-8e518797fcef	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia rosea		SPECIES	Daphnia rosea Sars, 1862	Daphnia rosea Richard, 1896	Richard, 1896	CA		British Columbia	PRESENT	9	cc6110c7-f75c-47c8-8931-f7dd3f324777	49.5	-115.9							1960-11-10T00:00:00	10	11	1960	2234838	2234838	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	983-00592-001				CC_BY_4_0	Royal BC Museum				2020-09-05T05:34:41.201Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1898282678	34fbcf59-d9bb-47e7-9672-99e13ea8c736	596774c2-a186-44f4-9f5b-6424aee85119	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulicaria		SPECIES	Daphnia pulicaria Forbes, 1893	Daphnia pulicaria Forbes, 1893	Forbes, 1893	CA		British Columbia	PRESENT		cc6110c7-f75c-47c8-8931-f7dd3f324777	50.798333	-120.451667							1949-06-23T00:00:00	23	6	1949	2234847	2234847	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	983-00612-001		Gordon Green		CC_BY_4_0	Royal BC Museum				2020-09-05T05:34:41.304Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1898282185	34fbcf59-d9bb-47e7-9672-99e13ea8c736	57b4e6e0-6e56-4b76-bf61-9fbbe4879ec6	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulicaria		SPECIES	Daphnia pulicaria Forbes, 1893	Daphnia pulicaria Forbes, 1893	Forbes, 1893	CA	Vernon; Ellison Park: small shallow lake E of Ellison Provincial Park	British Columbia	PRESENT		cc6110c7-f75c-47c8-8931-f7dd3f324777	50.171667	-119.401667							1994-05-17T00:00:00	17	5	1994	2234847	2234847	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	994-00145-002		Gordon Green		CC_BY_4_0	Royal BC Museum	Gordon Green			2020-09-05T05:34:41.446Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1898282184	34fbcf59-d9bb-47e7-9672-99e13ea8c736	57ad97f3-830a-4cce-af1b-1892638a34f6	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia thorata		SPECIES	Daphnia thorata Forbes, 1893	Daphnia thorata Forbes, 1893	Forbes, 1893	CA	Smithers; Maclure Lake: lake also known as Tyhee Lake	British Columbia	PRESENT		cc6110c7-f75c-47c8-8931-f7dd3f324777	54.716667	-127.033333							1958-08-04T00:00:00	4	8	1958	2234811	2234811	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	983-00064-003		Gordon Green		CC_BY_4_0	Royal BC Museum				2020-09-05T05:34:41.445Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1898280941	34fbcf59-d9bb-47e7-9672-99e13ea8c736	52c324a7-2b51-4900-a073-b90cb23693a6	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia rosea		SPECIES	Daphnia rosea Sars, 1862	Daphnia rosea Richard, 1896	Richard, 1896	CA		British Columbia	PRESENT		cc6110c7-f75c-47c8-8931-f7dd3f324777	49.5	-115.9							1960-09-19T00:00:00	19	9	1960	2234838	2234838	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	983-00591-001		Bert Loro		CC_BY_4_0	Royal BC Museum				2020-09-05T05:34:39.659Z		GEODETIC_DATUM_ASSUMED_WGS84
1898280717	34fbcf59-d9bb-47e7-9672-99e13ea8c736	518990a3-5438-4498-9474-bdf385a0d50a	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulicaria		SPECIES	Daphnia pulicaria Forbes, 1893	Daphnia pulicaria Forbes, 1893	Forbes, 1893	CA		British Columbia	PRESENT		cc6110c7-f75c-47c8-8931-f7dd3f324777	51.0	-121.0					13.0	0.0	1950-08-14T00:00:00	14	8	1950	2234847	2234847	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	983-00029-002				CC_BY_4_0	Royal BC Museum				2020-09-05T05:34:37.598Z		GEODETIC_DATUM_ASSUMED_WGS84
1898280681	34fbcf59-d9bb-47e7-9672-99e13ea8c736	5188bdbf-f6f9-480a-8097-8dfb6cfab274	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia galeata	mendotae	SUBSPECIES	Daphnia galeata mendotae Birge, 1918	Daphnia galeata mendotae Birge, 1918	Birge, 1918	CA		British Columbia	PRESENT	3	cc6110c7-f75c-47c8-8931-f7dd3f324777	49.516667	-115.85							1960-06-22T00:00:00	22	6	1960	6284600	2234812	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	983-00807-001		Gordon Green		CC_BY_4_0	Royal BC Museum				2020-09-05T05:34:37.622Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1898280458	34fbcf59-d9bb-47e7-9672-99e13ea8c736	508662b0-73ad-4a12-b6dc-e5358b4c5794	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia galeata	mendotae	SUBSPECIES	Daphnia galeata mendotae Birge, 1918	Daphnia galeata mendotae Birge, 1918	Birge, 1918	CA		British Columbia	PRESENT		cc6110c7-f75c-47c8-8931-f7dd3f324777	50.516667	-120.25							1950-07-13T00:00:00	13	7	1950	6284600	2234812	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	983-01020-003		Gordon Green		CC_BY_4_0	Royal BC Museum				2020-09-05T05:34:37.690Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1898279701	34fbcf59-d9bb-47e7-9672-99e13ea8c736	4d395d5d-e2ea-4398-a1fc-7d2ab6dbd871	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia thorata		SPECIES	Daphnia thorata Forbes, 1893	Daphnia thorata Forbes, 1893	Forbes, 1893	CA		British Columbia	PRESENT	8	cc6110c7-f75c-47c8-8931-f7dd3f324777	53.45	-125.633333							1950-07-14T00:00:00	14	7	1950	2234811	2234811	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	983-00059-004		Gordon Green		CC_BY_4_0	Royal BC Museum				2020-09-05T05:34:37.557Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1898279573	34fbcf59-d9bb-47e7-9672-99e13ea8c736	4d187498-26ca-4e17-8c4c-75730762eef3	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia rosea		SPECIES	Daphnia rosea Sars, 1862	Daphnia rosea Richard, 1896	Richard, 1896	CA	Vancouver Island; Victoria; Rocky Point: W half upper pond	British Columbia	PRESENT	9	cc6110c7-f75c-47c8-8931-f7dd3f324777	48.324	-123.5495							1995-05-03T00:00:00	3	5	1995	2234838	2234838	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	995-00046-001		Gordon Green		CC_BY_4_0	Royal BC Museum	Gordon Green; Albert Loro			2020-09-05T05:34:37.669Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1898279366	34fbcf59-d9bb-47e7-9672-99e13ea8c736	4c1fb001-5d5e-4a10-97d1-1c8369968386	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia galeata	mendotae	SUBSPECIES	Daphnia galeata mendotae Birge, 1918	Daphnia galeata mendotae Birge, 1918	Birge, 1918	CA	Merritt; Nicola Lake: N end	British Columbia	PRESENT	5	cc6110c7-f75c-47c8-8931-f7dd3f324777	50.246667	-120.46							1959-08-19T00:00:00	19	8	1959	6284600	2234812	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	983-00827-002		Gordon Green		CC_BY_4_0	Royal BC Museum				2020-09-05T05:34:37.773Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1898278856	34fbcf59-d9bb-47e7-9672-99e13ea8c736	4a2c262e-f9ac-47dc-b852-5d5205b7d32b	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia thorata		SPECIES	Daphnia thorata Forbes, 1893	Daphnia thorata Forbes, 1893	Forbes, 1893	CA		British Columbia	PRESENT		cc6110c7-f75c-47c8-8931-f7dd3f324777	53.383333	-122.083333							1961-08-01T00:00:00	1	8	1961	2234811	2234811	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	983-00680-001		Bert Loro		CC_BY_4_0	Royal BC Museum				2020-09-05T05:34:37.441Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
